,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
802,Erythritol,0.675,1,122.12,4,0,3,80.92,0.7,OCC(O)C(O)CO
803,Risocaine,-2.709,1,179.21899999999997,1,1,3,52.32,-2.452,CCCOC(=O)C1:C:C:C(N):C:C:1
804,Azodrin,-0.949,1,223.165,1,0,5,73.86,0.6509999999999999,CNC(=O)C=C(C)OP(=O)(OC)OC
805,Succinimide,0.282,1,99.089,1,1,0,46.17,0.3,O=C1CCC(=O)N1
806,"2,3-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.28,CCC(C)C(C)C
807,bupirimate,-3.4930000000000003,1,316.42700000000013,1,1,8,84.42,-4.16,CCCCC1:C(C):N:C(NCC):N:C:1OS(=O)(=O)N(C)C
808,RTI 16,-3.411,1,270.361,0,3,1,32.260000000000005,-4.634,CCN1C2:N:C:C:C:C:2C(=S)N(C)C2:C:C:C:N:C:21
809,RTI 9,-3.784,1,239.274,0,3,1,29.54,-3.68,CCN1C(=O)C2:C:C:C:C:C:2OC2:C:C:C:C:C:21
810,Tetrahydropyran ,-0.978,2,86.134,0,1,0,9.23,-0.03,C1CCOCC1
811,1-Heptyne,-2.155,1,96.173,0,0,3,0.0,-3.01,C#CCCCCC
812,osthole,-4.0760000000000005,1,244.28999999999996,0,2,3,39.44,-4.314,COC1:C:C:C2:C:C:C(=O):O:C:2:C:1CC=C(C)C
813,3-Methylcholanthrene,-6.311,1,268.3589999999999,0,5,0,0.0,-7.92,CC1:C:C:C2:C(:C:C:C3:C4:C5:C(:C:C:C:C:5:C:C:3:2)CC4):C:1
814,Ethyl benzoate ,-2.775,1,150.17700000000002,0,1,2,26.3,-2.32,CCOC(=O)C1:C:C:C:C:C:1
815,1-Chloro-2-methylpropane,-1.924,1,92.569,0,0,1,0.0,-2.0,CC(C)CCl
816,Ethinyl estradiol,-4.317,1,296.41,2,4,0,40.46,-4.3,C#CC1(O)CCC2C3CCC4:C:C(O):C:C:C:4C3CCC21C
817,methyl laurate,-4.025,1,214.349,0,0,10,26.3,-4.69,CCCCCCCCCCCC(=O)OC
818,Di-n-propylsulfide,-2.307,1,118.245,0,0,4,0.0,-2.58,CCCSCCC
819,Napthacene,-5.568,2,228.294,0,4,0,0.0,-8.6,C1:C:C:C2:C:C3:C:C4:C:C:C:C:C:4:C:C:3:C:C:2:C:1
820,1-Bromopentane,-2.658,1,151.047,0,0,3,0.0,-3.08,CCCCCBr
821,trans-2-Heptene ,-2.784,1,98.18899999999998,0,0,3,0.0,-3.82,C/C=C/CCCC
822,Metranidazole,-0.8590000000000001,1,171.15599999999995,1,1,3,81.19,-1.26,CC1:N:C:C([N+](=O)[O-]):N:1CCO
823,Pentylcyclopentane,-3.869,1,140.26999999999998,0,1,4,0.0,-6.08,CCCCCC1CCCC1
824,"2,2',3,5,5',6-PCB",-7.261,1,360.88200000000006,0,2,1,0.0,-7.42,ClC1:C:C:C(Cl):C(C2:C(Cl):C(Cl):C:C(Cl):C:2Cl):C:1
825,5-Ethyl-5-isopropylbarbituric acid,-1.6030000000000002,1,198.222,2,1,2,75.27000000000002,-2.148,CCC1(C(C)C)C(=O)NC(=O)NC1=O
826,"1,1,1-Trichloroethane",-2.232,1,133.405,0,0,0,0.0,-2.0,CC(Cl)(Cl)Cl
827,Monolinuron,-2.948,1,214.65200000000002,1,1,2,41.57,-2.57,CON(C)C(=O)NC1:C:C:C(Cl):C:C:1
828,Cyclohexyl-5-spirobarbituric acid,-1.405,1,196.206,2,2,0,75.27,-3.06,O=C1NC(=O)C2(CCCCC2)C(=O)N1
829,dimetan,-2.3040000000000003,1,211.26099999999997,0,1,1,46.61,-0.85,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1
830,4-Bromotoluene,-3.667,1,171.03700000000003,0,1,0,0.0,-3.19,CC1:C:C:C(Br):C:C:1
831,Diethyl ether ,-0.718,1,74.123,0,0,2,9.23,-0.09,CCOCC
832,Rovral,-4.004,1,330.17100000000005,1,2,2,69.72,-4.376,CC(C)NC(=O)N1CC(=O)N(C2:C:C(Cl):C:C(Cl):C:2)C1=O
833,Benfluralin,-5.205,1,335.2820000000001,0,1,7,89.51999999999998,-5.53,CCCCN(CC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-]
834,"2,4,6-Trimethylphenol",-2.9410000000000003,1,136.194,1,1,0,20.23,-2.05,CC1:C:C(C):C(O):C(C):C:1
835,Benzene ,-2.418,2,78.11399999999998,0,1,0,0.0,-1.64,C1:C:C:C:C:C:1
836,p-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0.0,-4.03,ClC1:C:C:C(I):C:C:1
837,Metoxuron,-2.6830000000000003,1,228.679,1,1,2,41.57,-2.564,COC1:C:C:C(NC(=O)N(C)C):C:C:1Cl
838,propachlor,-3.018,1,211.69200000000004,0,1,3,20.31,-2.48,CC(C)N(C(=O)CCl)C1:C:C:C:C:C:1
839,Styrene,-2.85,1,104.15199999999996,0,1,1,0.0,-2.82,C=CC1:C:C:C:C:C:1
840,Dimethoxymethane,0.092,1,76.095,0,0,2,18.46,0.48,COCOC
841,o-Xylene ,-3.004,1,106.168,0,1,0,0.0,-2.8,CC1:C:C:C:C:C:1C
842,Butan-2-ol,-0.616,1,74.12299999999998,1,0,1,20.23,0.47,CCC(C)O
843,"1,4-Benzenediol",-1.59,1,110.11199999999998,2,1,0,40.46,-0.17,OC1:C:C:C(O):C:C:1
844,estriol,-3.858,1,288.387,3,4,0,60.69,-4.955,CC12CCC3C4:C:C:C(O):C:C:4CCC3C1CC(O)C2O
845,Benzo(b)fluorene,-5.189,2,216.283,0,4,0,0.0,-8.04,C1:C:C:C2:C(:C:1)CC1:C:C3:C:C:C:C:C:3:C:C:12
846,hydantoin,0.603,1,100.07700000000001,2,1,0,58.2,-0.4,O=C1CNC(=O)N1
847,4-hexylresorcinol,-3.4930000000000003,1,194.27399999999992,2,1,5,40.46,-2.59,CCCCCCC1:C:C:C(O):C:C:1O
848,allicin,-2.045,1,162.27899999999997,0,0,5,17.07,-0.83,C=CCSS(=O)CC=C
849,Coumaphos,-5.04,1,362.7710000000001,0,2,6,57.9,-5.3820000000000014,CCOP(=S)(OCC)OC1:C:C:C2:O:C(=O):C(Cl):C(C):C:2:C:1
850,"5,6-Dimethylchrysene",-6.265,1,256.348,0,4,0,0.0,-7.01,CC1:C(C):C2:C3:C:C:C:C:C:3:C:C:C:2:C2:C:C:C:C:C:1:2
851,Betamethasone-17-valerate,-5.062,1,476.58500000000015,2,4,6,100.90000000000002,-4.71,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
852,uric acid,-0.541,1,168.112,4,2,0,114.36999999999998,-3.93,O=C1:[NH]:C(=O):C2:[NH]:C(=O):[NH]:C:2:[NH]:1
853,"2,3,4,6-Tetrachlorophenol",-4.203,1,231.893,1,1,0,20.23,-3.1,OC1:C(Cl):C:C(Cl):C(Cl):C:1Cl
854,"1,3-Dichlorobenzene",-3.5580000000000003,1,147.004,0,1,0,0.0,-3.04,ClC1:C:C:C:C(Cl):C:1
855,DDT,-6.638,1,354.491,0,2,2,0.0,-7.15,ClC1:C:C:C(C(C2:C:C:C(Cl):C:C:2)C(Cl)(Cl)Cl):C:C:1
856,Isobutyl formate,-1.095,1,102.13299999999998,0,0,3,26.3,-1.01,CC(C)COC=O
857,thioanisole,-2.87,1,124.208,0,1,1,0.0,-2.39,CSC1:C:C:C:C:C:1
858,RTI 13,-4.45,1,322.29,1,3,1,58.12000000000001,-4.207,CCN1C2:N:C:C:C:C:2C(=O)NC2:C(C(F)(F)F):C:C(C):N:C:21
859,Hexane ,-2.615,1,86.178,0,0,3,0.0,-3.84,CCCCCC
860,methyl nicotinate,-1.621,1,137.138,0,1,1,39.19,-0.46,COC(=O)C1:C:C:C:N:C:1
861,Bendroflumethiazide,-3.741,1,421.42200000000014,3,3,3,118.36,-3.59,NS(=O)(=O)C1:C:C2:C(:C:C:1C(F)(F)F)NC(CC1:C:C:C:C:C:1)NS2(=O)=O
862,"2,3,3',4,4',5-PCB",-7.425,1,360.88200000000006,0,2,1,0.0,-7.82,ClC1:C:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C:C:1Cl
863,Vinclozolin,-4.377,1,286.1140000000001,0,2,2,46.61,-4.925,C=CC1(C)OC(=O)N(C2:C:C(Cl):C:C(Cl):C:2)C1=O
864,Cyanazine,-2.49,1,240.69799999999998,2,1,4,86.52,-3.15,CCNC1:N:C(Cl):N:C(NC(C)(C)C#N):N:1
865,Triphenylene,-5.568,2,228.294,0,4,0,0.0,-6.726,C1:C:C:C2:C(:C:1):C1:C:C:C:C:C:1:C1:C:C:C:C:C:2:1
866,Dienestrol,-4.775,1,266.34,2,2,3,40.46,-4.95,CC=C(C(=CC)C1:C:C:C(O):C:C:1)C1:C:C:C(O):C:C:1
867,Di(2-ethylhexyl)-phthalate,-7.117000000000001,1,390.5640000000003,0,1,14,52.60000000000001,-6.96,CCCCC(CC)COC(=O)C1:C:C:C:C:C:1C(=O)OCC(CC)CCCC
868,2-Ethyl pyridine,-2.051,1,107.15599999999998,0,1,1,12.89,0.51,CCC1:C:C:C:C:N:1
869,Naled,-3.548,1,380.784,0,0,5,44.76000000000001,-2.28,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
870,Biphenyl,-4.079,2,154.21199999999996,0,2,1,0.0,-4.345,C1:C:C:C(C2:C:C:C:C:C:2):C:C:1
871,"2,2',4,4',6,6'-PCB",-7.1789999999999985,1,360.88200000000006,0,2,1,0.0,-8.71,ClC1:C:C(Cl):C(C2:C(Cl):C:C(Cl):C:C:2Cl):C(Cl):C:1
872,Altretamine,-2.492,1,210.285,0,1,3,48.39000000000001,-3.364,CN(C)C1:N:C(N(C)C):N:C(N(C)C):N:1
873,"2,4-Dimethyl-2-pentanol ",-1.6469999999999998,1,116.20399999999998,1,0,2,20.23,-0.92,CC(C)CC(C)(C)O
874,Cycloheptyl-5-spirobarbituric acid,-1.844,1,210.233,2,2,0,75.27,-3.168,O=C1NC(=O)C2(CCCCCC2)C(=O)N1
875,Fructose,0.471,1,180.15599999999998,5,1,2,110.38,0.64,OCC1OC(O)(CO)C(O)C1O
876,"3,5-Dimethylphenol",-2.652,1,122.16699999999996,1,1,0,20.23,-1.4,CC1:C:C(C):C:C(O):C:1
877,Barban,-4.16,1,258.10400000000004,1,1,2,38.33,-4.37,O=C(NC1:C:C:C:C(Cl):C:1)OCC#CCCl
878,p-Chloroacetanilide,-2.642,1,169.611,1,1,1,29.1,-2.843,CC(=O)NC1:C:C:C(Cl):C:C:1
879,"2,2',3,4,5,5',6-PCB",-7.898,1,395.32700000000017,0,2,1,0.0,-8.94,ClC1:C:C:C(Cl):C(C2:C(Cl):C(Cl):C(Cl):C(Cl):C:2Cl):C:1
880,"2,2-Dimethylbutane",-2.584,1,86.17799999999998,0,0,0,0.0,-3.55,CCC(C)(C)C
881,N-Methylaniline ,-2.097,1,107.15599999999998,1,1,1,12.03,-1.28,CNC1:C:C:C:C:C:1
882,"1,4-Pentadiene ",-1.758,1,68.119,0,0,2,0.0,-2.09,C=CCC=C
883,Hydrocortisone 21-acetate,-3.692,1,404.50300000000016,2,4,3,100.90000000000002,-4.88,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
884,DNOC,-2.818,1,198.13400000000001,1,1,2,106.51000000000002,-1.456,CC1:C:C([N+](=O)[O-]):C:C([N+](=O)[O-]):C:1O
885,Lorazepam,-3.75,1,321.163,2,3,1,61.69000000000001,-3.604,O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2Cl)=NC1O
886,3-Chlorophenol,-2.761,1,128.558,1,1,0,20.23,-0.7,OC1:C:C:C:C(Cl):C:1
887,m-Chlorobromobenzene,-3.928,1,191.455,0,1,0,0.0,-3.21,ClC1:C:C:C:C(Br):C:1
888,chlorothiazide,-1.7519999999999998,1,295.7290000000001,2,2,1,118.69,-3.05,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)N=CNS2(=O)=O
889,5-Methyl-5-ethylbarbituric acid,-0.911,1,170.16799999999995,2,1,1,75.27000000000002,-1.228,CCC1(C)C(=O)NC(=O)NC1=O
890,2-Phenoxyethanol,-1.761,1,138.16599999999997,1,1,3,29.46,-0.7,OCCOC1:C:C:C:C:C:1
891,Diphenylmethane,-4.09,2,168.239,0,2,2,0.0,-4.08,C1:C:C:C(CC2:C:C:C:C:C:2):C:C:1
892,3-Octanol,-2.033,1,130.23099999999997,1,0,5,20.23,-1.98,CCCCCC(O)CC
893,Flumetralin,-6.584,1,421.73400000000015,0,2,6,89.51999999999998,-6.78,CCN(CC1:C(F):C:C:C:C:1Cl)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-]
894,Propazine,-3.329,1,229.71500000000003,2,1,4,62.73,-4.43,CC(C)NC1:N:C(Cl):N:C(NC(C)C):N:1
895,2-Methylpentanol,-1.381,1,102.177,1,0,3,20.23,-1.11,CCCC(C)CO
896,2-Methyl-2-hexanol,-1.663,1,116.20399999999998,1,0,3,20.23,-1.08,CCCCC(C)(C)O
897,Ethylbenzene,-2.988,1,106.16799999999996,0,1,1,0.0,-2.77,CCC1:C:C:C:C:C:1
898,5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.126,1,224.26,2,1,3,75.27000000000002,-2.253,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O
899,Heptachlor,-5.26,1,373.32099999999986,0,3,0,0.0,-6.317,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
900,butallylonal,-2.766,1,303.156,2,1,4,75.27000000000002,-2.647,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O
901,Fenpropathrin,-6.15,1,349.43000000000006,0,3,5,59.32000000000001,-6.025,CC1(C)C(C(=O)OC(C#N)C2:C:C:C:C(OC3:C:C:C:C:C:3):C:2)C1(C)C
902,Methoprene,-4.795,1,310.47800000000007,0,0,10,35.53,-5.19,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C
903,Ethyl propionate,-1.1909999999999998,1,102.133,0,0,2,26.3,-0.66,CCOC(=O)CC
904,Prometryn,-3.693,1,241.364,2,1,5,62.73,-4.1,CSC1:N:C(NC(C)C):N:C(NC(C)C):N:1
905,Buturon,-3.199,1,236.702,1,1,2,32.34,-3.9,C#CC(C)N(C)C(=O)NC1:C:C:C(Cl):C:C:1
906,"2,3-Dimethylnaphthalene",-4.1160000000000005,1,156.22799999999995,0,2,0,0.0,-4.72,CC1:C:C2:C:C:C:C:C:2:C:C:1C
907,"2,4',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.25,ClC1:C:C:C(C2:C:C(Cl):C:C:C:2Cl):C:C:1
908,"2,3',4,4',5-PCB",-7.343,1,360.88200000000006,0,2,1,0.0,-7.39,ClC1:C:C:C(C2:C:C(Cl):C(Cl):C(Cl):C:2Cl):C(Cl):C:1
909,2-cyanoguanidine,0.361,1,84.08200000000001,2,0,0,88.19,-0.31,N#CN=C(N)N
910,Chloropicrin,-1.866,1,164.375,0,0,0,43.14,-2.0,O=[N+]([O-])C(Cl)(Cl)Cl
911,"2,6-PCB",-4.984,1,223.102,0,2,1,0.0,-5.21,ClC1:C:C:C:C(Cl):C:1C1:C:C:C:C:C:1
912,p-Methoxybenzaldehyde,-2.252,1,136.14999999999998,0,1,2,26.3,-1.49,COC1:C:C:C(C=O):C:C:1
913,4-Nitroacetanilide,-2.219,1,180.163,1,1,2,72.24000000000002,-2.692,CC(=O)NC1:C:C:C([N+](=O)[O-]):C:C:1
914,Ethyl heptanoate,-2.608,1,158.241,0,0,6,26.3,-2.74,CCCCCCC(=O)OCC
915,p-Hydroxyacetanilide,-1.495,1,151.165,2,1,1,49.33,-1.03,CC(=O)NC1:C:C:C(O):C:C:1
916,indazole,-2.34,2,118.13899999999998,1,2,0,28.68,-2.16,C1:C:C:C2:[NH]:N:C:C:2:C:1
917,triamcinolone acetonide,-3.928,1,434.50400000000025,2,5,2,93.06000000000002,-4.31,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
918,guanine,-0.67,1,151.129,3,2,0,100.45,-3.583,NC1:N:C2:[NH]:C:N:C:2:C(=O):[NH]:1
919,Methyl acetate,-0.416,1,74.07900000000002,0,0,0,26.3,0.46,COC(C)=O
920,Stanolone,-3.882,1,290.44699999999995,1,4,0,37.3,-4.743,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
921,1-Hexene-3-ol,-1.199,1,100.161,1,0,3,20.23,-0.59,C=CC(O)CCC
922,norbormide,-4.238,1,511.58100000000013,2,7,5,92.18,-3.931,O=C1NC(=O)C2C3C(C(O)(C4:C:C:C:C:C:4)C4:C:C:C:C:N:4)=CC(C3=C(C3:C:C:C:C:C:3)C3:C:C:C:C:N:3)C12
923,Dibutyl ether ,-2.135,1,130.231,0,0,6,9.23,-1.85,CCCCOCCCC
924,1-Dodecanol,-3.523,1,186.339,1,0,10,20.23,-4.8,CCCCCCCCCCCCO
925,RTI 6,-3.335,1,313.3610000000001,2,3,4,81.59000000000002,-3.36,CCN1C2:N:C(N(C)CCO):C:C:C:2NC(=O)C2:C:C:C:N:C:21
926,2-Methyl-2-pentanol,-1.308,1,102.17699999999998,1,0,2,20.23,-0.49,CCCC(C)(C)O
927,Flucytosine,-0.132,1,129.09399999999997,2,1,0,71.77,-0.972,NC1:N:C(=O):[NH]:C:C:1F
928,stadacaine,-5.127999999999999,1,293.4070000000001,0,1,9,38.77,-3.84,CCCCOC1:C:C:C(C(=O)OCC):C(N(CC)CC):C:1
929,2-Methyl-2-heptanol,-2.017,1,130.231,1,0,4,20.23,-1.72,CCCCCC(C)(C)O
930,Hexamethylbenzene,-4.3610000000000015,1,162.27599999999995,0,1,0,0.0,-5.23,CC1:C(C):C(C):C(C):C(C):C:1C
931,Thymol,-3.129,1,150.22099999999998,1,1,1,20.23,-2.22,CC1:C:C:C(C(C)C):C(O):C:1
932,Pteridine,-0.906,2,132.12599999999998,0,2,0,51.56,0.02,C1:C:N:C2:N:C:N:C:C:2:N:1
933,Parathion,-3.949,1,291.2650000000001,0,1,7,70.83000000000001,-4.66,CCOP(=S)(OCC)OC1:C:C:C([N+](=O)[O-]):C:C:1
934,Methane,-0.636,0,16.043,0,0,0,0.0,-0.9,C
935,indoline,-2.195,2,119.167,1,2,0,12.03,-1.04,C1:C:C:C2:C(:C:1)CCN2
936,1-Nitronapthalene,-3.414,1,173.171,0,2,1,43.14,-3.54,O=[N+]([O-])C1:C:C:C:C2:C:C:C:C:C:1:2
937,3-Methyl-2-pentanone,-1.266,1,100.161,0,0,2,17.07,-0.67,CCC(C)C(C)=O
938,isoguanine,-1.74,1,151.129,3,2,0,100.71,-3.401,NC1:N:C(O):N:C2:N:C:[NH]:C:1:2
939,bromadiolone,-7.877000000000002,1,527.4140000000001,2,5,6,70.67,-4.445,O=C1:O:C2:C:C:C:C:C:2:C(O):C:1C(CC(O)C1:C:C:C(C2:C:C:C(Br):C:C:2):C:C:1)C1:C:C:C:C:C:1
940,Nitromethane,-0.042,1,61.040000000000006,0,0,0,43.14,0.26,C[N+](=O)[O-]
941,Triallate,-4.578,1,304.67,0,0,4,20.31,-4.88,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
942,"1,5-Hexadiene ",-2.112,1,82.14599999999999,0,0,3,0.0,-2.68,C=CCCC=C
943,Indole,-2.654,2,117.15099999999997,1,2,0,15.79,-1.52,C1:C:C:C2:[NH]:C:C:C:2:C:1
944,Androstenedione,-3.393,1,286.415,0,4,0,34.14,-3.69,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O
945,1-Hexene,-2.364,1,84.16199999999998,0,0,3,0.0,-3.23,C=CCCCC
946,Xipamide,-3.642,1,354.81500000000017,3,2,3,109.48999999999998,-3.79,CC1:C:C:C:C(C):C:1NC(=O)C1:C:C(S(N)(=O)=O):C(Cl):C:C:1O
947,Ethylcyclohexane,-3.245,1,112.216,0,1,1,0.0,-4.25,CCC1CCCCC1
948,2-Nonanone,-2.263,1,142.24200000000002,0,0,6,17.07,-2.58,CCCCCCCC(C)=O
949,Mebendazole,-4.118,1,295.298,2,3,3,84.07999999999998,-3.88,COC(=O)NC1:N:C2:C:C:C(C(=O)C3:C:C:C:C:C:3):C:C:2:[NH]:1
950,Chloropham,-3.544,1,213.664,1,1,2,38.33,-3.38,CC(C)OC(=O)NC1:C:C:C:C(Cl):C:1
951,RTI 12,-3.446,1,288.73800000000006,0,3,1,49.33000000000001,-4.114,CCN1C2:N:C:C:C:C:2C(=O)N(C)C2:C:C:C(Cl):N:C:21
952,Carbaryl,-3.087,1,201.225,1,2,1,38.33,-3.224,CNC(=O)OC1:C:C:C:C2:C:C:C:C:C:1:2
953,Ethyne,-0.252,1,26.038,0,0,0,0.0,0.29,C#C
954,"3,5-Dimethylpyridine",-2.0980000000000003,1,107.15599999999998,0,1,0,12.89,0.38,CC1:C:N:C:C(C):C:1
955,"1,4-Cyclohexadiene",-1.842,2,80.12999999999998,0,1,0,0.0,-2.06,C1=CCC=CC1
956,Mecarbam,-3.738,1,329.3800000000001,0,0,8,65.07000000000001,-2.518,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
957,1-Phenylethanol,-1.919,1,122.16699999999996,1,1,1,20.23,-0.92,CC(O)C1:C:C:C:C:C:1
958,"1,2-Dichloropropane",-1.794,1,112.987,0,0,1,0.0,-1.6,CC(Cl)CCl
959,2-Ethyl-2-hexanal,-2.081,1,126.19899999999998,0,0,4,17.07,-2.46,CCCC=C(C=O)CC
960,Disulfoton,-3.975,1,274.413,0,0,9,18.46,-4.23,CCOP(=S)(OCC)SCCSCC
961,methyltestosterone acetate,-4.863,1,344.4950000000002,0,4,1,43.37000000000001,-5.284,CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
962,"2,4,6-PCB",-5.604,1,257.547,0,2,1,0.0,-6.14,ClC1:C:C:C(C2:C(Cl):C:C:C:C:2Cl):C:C:1
963,difluron,-4.692,1,310.687,2,2,2,58.2,-6.02,O=C(NC(=O)C1:C(F):C:C:C:C:1F)NC1:C:C:C(Cl):C:C:1
964,Triclosan,-5.645,1,289.545,1,2,2,29.46,-4.46,OC1:C:C(Cl):C:C:C:1OC1:C:C:C(Cl):C:C:1Cl
965,diisooctyl phthalate,-7.117000000000001,1,390.56400000000014,0,1,14,52.60000000000001,-6.6370000000000005,CC(C)CCCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCCCC(C)C
966,Corticosterone,-3.454,1,346.46700000000016,2,4,2,74.6,-3.24,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12
967,"1,3,5-Trimethylbenzene ",-3.375,1,120.19499999999998,0,1,0,0.0,-3.4,CC1:C:C(C):C:C(C):C:1
968,dioctyl phthalate,-7.148,1,390.56400000000036,0,1,16,52.60000000000001,-5.115,CCCCCCCCOC(=O)C1:C:C:C:C:C:1C(=O)OCCCCCCCC
969,1-Pentadecanol,-4.586,1,228.41999999999996,1,0,13,20.23,-6.35,CCCCCCCCCCCCCCCO
970,"2,2',6,6'-PCB",-5.915,1,291.992,0,2,1,0.0,-7.39,ClC1:C:C:C:C(Cl):C:1C1:C(Cl):C:C:C:C:1Cl
971,"5,5-Dimethylbarbituric acid",-0.556,1,156.141,2,1,0,75.27000000000002,-1.742,CC1(C)C(=O)NC(=O)NC1=O
972,2-Iodopropane,-2.486,1,169.993,0,0,0,0.0,-2.09,CC(C)I
973,"1,2-Dinitrobenzene",-2.281,1,168.10799999999998,0,1,2,86.28,-3.1,O=[N+]([O-])C1:C:C:C:C:C:1[N+](=O)[O-]
974,3-Methyl-2-butanone,-0.912,1,86.13399999999999,0,0,1,17.07,-0.12,CC(=O)C(C)C
975,Hexadecane,-6.159,1,226.44799999999992,0,0,13,0.0,-8.4,CCCCCCCCCCCCCCCC
976,"1,8-Cineole",-2.579,1,154.253,0,3,0,9.23,-1.74,CC12CCC(CC1)C(C)(C)O2
977,Tricyclazole,-2.8680000000000003,1,189.243,0,3,0,30.19,-2.07,CC1:C:C:C:C2:S:C3:N:N:C:N:3:C:1:2
978,2-Octanone,-1.909,1,128.21499999999997,0,0,5,17.07,-2.05,CCCCCCC(C)=O
979,Methyl nonanoate,-2.962,1,172.268,0,0,7,26.3,-3.38,CCCCCCCCC(=O)OC
980,"1,4-Difluorobenzene",-2.636,1,114.094,0,1,0,0.0,-1.97,FC1:C:C:C(F):C:C:1
981,Thalidomide,-1.944,1,258.233,1,3,1,83.55000000000003,-2.676,O=C1CCC(N2C(=O)C3:C:C:C:C:C:3C2=O)C(=O)N1
982,Trifluralin,-5.205,1,335.2820000000001,0,1,7,89.51999999999998,-5.68,CCCN(CCC)C1:C([N+](=O)[O-]):C:C(C(F)(F)F):C:C:1[N+](=O)[O-]
983,Ethanol,0.02,1,46.068999999999996,1,0,0,20.23,1.1,CCO
984,Cyclopentyl-5-spirobarbituric acid,-0.966,1,182.179,2,2,0,75.27,-2.349,O=C1NC(=O)C2(CCCC2)C(=O)N1
985,Carbetamide,-2.29,1,236.271,2,1,4,67.42999999999999,-1.83,CCNC(=O)C(C)OC(=O)NC1:C:C:C:C:C:1
986,phenothrin,-6.763,1,350.45800000000014,0,3,6,35.53,-5.24,CC(C)=CC1C(C(=O)OCC2:C:C:C:C(OC3:C:C:C:C:C:3):C:2)C1(C)C
987,Cycluron,-2.629,1,198.30999999999992,1,1,1,32.34,-2.218,CN(C)C(=O)NC1CCCCCCC1
988,Mirex,-6.155,1,545.5460000000002,0,6,0,0.0,-6.8,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
989,1-Bromooctane,-3.721,1,193.128,0,0,6,0.0,-5.06,CCCCCCCCBr
990,Benomyl,-2.902,1,290.323,2,2,4,85.25,-4.883,CCCCNC(=O)N1:C(NC(=O)OC):N:C2:C:C:C:C:C:2:1
991,aminopyrine,-2.129,1,231.299,0,2,2,30.17,-0.364,CC1:C(N(C)C):C(=O):N(C2:C:C:C:C:C:2):N:1C
992,3-Pentanol,-0.97,1,88.15,1,0,2,20.23,-0.24,CCC(O)CC
993,p-Nitrotoluene,-2.64,1,137.138,0,1,1,43.14,-2.49,CC1:C:C:C([N+](=O)[O-]):C:C:1
994,4-Methylpentanol,-1.381,1,102.177,1,0,3,20.23,-1.14,CC(C)CCCO
995,Norethisterone,-2.669,1,314.42500000000007,2,4,0,57.53,-4.57,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C
996,bromopropylate,-5.832999999999998,1,428.12000000000006,1,2,4,46.53,-4.93,CC(C)OC(=O)C(O)(C1:C:C:C(Br):C:C:1)C1:C:C:C(Br):C:C:1
997,Pyrazon,-2.603,1,221.64700000000002,1,2,1,60.91,-2.878,NC1:C:N:N(C2:C:C:C:C:C:2):C(=O):C:1Cl
998,2-Methylbutan-2-ol,-0.954,1,88.14999999999998,1,0,1,20.23,0.15,CCC(C)(C)O
999,p-Cresol,-2.313,1,108.14,1,1,0,20.23,-0.73,CC1:C:C:C(O):C:C:1
1000,Ethyl formate,-0.402,1,74.07900000000002,0,0,2,26.3,0.15,CCOC=O
